,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
255,0.0,22,-47.0,-51.0,-60.0,,,-49.0,-57.0,,-73.0,-64.0
256,0.0,22,-41.0,-52.0,,,-75.0,-49.0,-56.0,,,
257,0.0,22,-48.0,-52.0,,-77.0,,,-53.0,-78.0,-75.0,
258,0.0,22,,-57.0,-53.0,,,,,-69.0,-78.0,-65.0
259,0.0,22,-65.0,-58.0,-60.0,,,-55.0,-60.0,,,-75.0
260,0.0,22,-56.0,-62.0,-60.0,,,-54.0,-57.0,-72.0,-77.0,-69.0
261,0.0,22,-63.0,-64.0,-57.0,-69.0,,,-59.0,-71.0,-71.0,
262,0.0,22,-57.0,-61.0,,-70.0,-72.0,,,-72.0,-73.0,-70.0
263,0.0,22,-54.0,,-57.0,-67.0,-75.0,,,-70.0,-72.0,-65.0
264,0.0,22,-43.0,-55.0,-68.0,-84.0,,-33.0,-58.0,-81.0,-82.0,
265,0.0,22,-50.0,-54.0,-65.0,,,-45.0,,-72.0,-74.0,-71.0
266,0.0,22,,-60.0,-66.0,,,-45.0,-66.0,-75.0,-90.0,-71.0
267,0.0,22,-49.0,-65.0,,-58.0,-73.0,-49.0,-51.0,-80.0,-73.0,-65.0
268,0.0,22,-50.0,-54.0,-68.0,-72.0,,-52.0,-61.0,,,
269,0.0,22,-61.0,-63.0,-71.0,-72.0,,-40.0,-58.0,-73.0,-81.0,
270,0.0,22,-69.0,-62.0,-59.0,-76.0,-77.0,-48.0,,-73.0,-77.0,-71.0
271,0.0,22,-59.0,,,-76.0,,-32.0,-60.0,-86.0,-80.0,-85.0
272,0.0,22,,,,,,-45.0,-64.0,-73.0,-75.0,-77.0
273,0.0,22,-48.0,-48.0,,-70.0,-84.0,-43.0,,-71.0,-82.0,-68.0
274,0.0,22,-55.0,-61.0,-65.0,-71.0,,-47.0,-63.0,-70.0,-75.0,-69.0
275,0.0,22,-43.0,-56.0,-68.0,-79.0,-74.0,-51.0,-63.0,-74.0,-75.0,-74.0
276,0.0,22,-59.0,-62.0,-76.0,-71.0,,-47.0,-57.0,-70.0,-79.0,-74.0
277,0.0,22,-42.0,-47.0,-58.0,-69.0,,-47.0,,-78.0,-69.0,
278,0.0,22,-46.0,-62.0,-64.0,-67.0,-75.0,-42.0,-51.0,-76.0,-70.0,-64.0
279,0.0,22,-58.0,-61.0,-67.0,,,-29.0,-55.0,-76.0,-86.0,-80.0
280,0.0,22,-71.0,,,-68.0,,-49.0,-68.0,,,
281,0.0,22,-64.0,-52.0,-64.0,-73.0,,-32.0,-53.0,-74.0,-84.0,
282,0.0,22,-62.0,-58.0,-73.0,-76.0,,-41.0,-55.0,-79.0,-86.0,-82.0
283,0.0,22,-51.0,-53.0,-64.0,-65.0,-73.0,,-61.0,-74.0,-74.0,-70.0
284,0.0,22,-55.0,-59.0,,,,,-63.0,,-76.0,
285,0.0,22,,,,-72.0,-77.0,-41.0,,-70.0,-84.0,-67.0
286,0.0,22,-57.0,,-61.0,,-71.0,-47.0,,,-74.0,-67.0
287,0.0,22,-37.0,-45.0,-59.0,-64.0,-79.0,-43.0,-63.0,-69.0,-71.0,
288,0.0,22,-40.0,-61.0,,-75.0,-73.0,-43.0,,,,-75.0
289,0.0,22,-62.0,-61.0,-72.0,-69.0,,-47.0,-54.0,-73.0,-78.0,-71.0
290,0.0,22,-67.0,-63.0,-56.0,-71.0,,-60.0,-56.0,-75.0,,-71.0
291,0.0,22,-72.0,-67.0,-69.0,-65.0,,-52.0,-62.0,-72.0,-79.0,-74.0
292,0.0,22,-55.0,-56.0,-54.0,-62.0,-77.0,-44.0,-57.0,-75.0,-76.0,-73.0
293,0.0,22,-57.0,-61.0,,,,-50.0,-63.0,,-71.0,-84.0
294,0.0,22,-62.0,,,,,-40.0,-61.0,,,
